Instance,|V|,Tmax,Best Obj,Information of the best route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,total service time,total travel time,number of visted customer,route,service time of each vertex in the route (the first one and last  one are depots),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kroA100,25,14212,509.18,9449,4763,11,0-5-18-3-15-17-23-9-20-16-14-10-0,0,987.51,540.59,1053.49,1288.85,885.8,1006.19,1335.82,447.65,602.92,793.23,506.95,0,,,,,,,,,,,,,,,,,
kroA100,50,14617,656.81,7720,6897,15,0-39-1-43-49-38-36-4-47-13-2-42-45-33-6-27-0,0,636.44,561.77,309.11,639.4,545.9,573.74,507.61,569.68,689.4,336.42,522.38,587,176.77,541.98,522.38,0,,,,,,,,,,,,,
kroA100,75,14702,731.33,8534,6168,17,0-27-66-41-30-55-3-64-65-69-15-17-23-35-58-73-9-5-0,0,482.43,675.11,571.18,482.43,252.88,585.68,442.62,141.73,527.8,687.38,442.62,595.43,527.8,313.22,651.33,662.18,492.19,0,,,,,,,,,,,
kroA100,100,14702,794.64,9008,5694,20,0-41-30-79-55-96-3-64-65-69-15-87-78-17-23-35-58-73-9-89-5-0,0,511.24,449.86,78.17,184.78,657.53,544.06,403.19,106,490.34,633.87,578.96,567.57,403.19,558.89,490.34,279.17,615.66,602.25,404.82,448.12,0,,,,,,,,
kroB100,25,13435,529.97,6343,7092,12,0-8-6-3-5-13-1-15-17-21-22-19-20-0,0,375.73,579.95,579.11,579.75,321.34,694.92,449.93,677.67,638.95,368.35,636.14,441.14,0,,,,,,,,,,,,,,,,
kroB100,50,14102,638.05,6637,7465,16,0-45-8-33-6-3-5-32-41-1-15-17-21-46-19-48-20-0,0,353.03,229.94,383.27,460.67,454.14,465.65,256.51,593.28,556.8,295.55,496.68,429.01,474.66,516.86,349.09,321.86,0,,,,,,,,,,,,
kroB100,75,14550,760.07,9115,5435,17,0-45-8-33-56-73-59-6-57-51-36-46-64-74-29-19-48-20-0,0,461.33,374.33,609.27,442.64,416.37,683.71,578.81,461.8,631.74,577.25,582.96,577.91,690.4,465.61,635,485.88,440,0,,,,,,,,,,,
kroB100,100,14782,885.93,9456,5326,22,0-20-85-48-19-79-29-74-55-99-39-52-72-2-27-90-96-7-75-58-31-97-94-0,0,348.99,547.12,380.51,543.99,204.16,283.61,592.74,434.24,482.57,572.49,369.72,355.31,491.6,509.22,468.83,593.57,369.72,362.58,374.06,204.16,374.06,592.74,0,,,,,,
kroC100,25,14040,512.25,7897,6143,10,0-19-16-7-21-5-12-14-11-17-23-0,0,402.54,806.35,1133.72,488.73,1133.72,853.05,824.01,736.89,630.36,887.62,0,,,,,,,,,,,,,,,,,,
kroC100,50,14372,646.97,8772,5600,15,0-23-31-25-36-17-48-18-9-44-32-35-11-26-12-14-0,0,806.01,505.63,645.14,287.07,467.15,786.73,371.9,132.69,961.56,716.76,249.98,645.33,711.55,767.74,716.76,0,,,,,,,,,,,,,
kroC100,75,14480,741.84,8068,6412,17,0-14-12-26-59-58-72-2-73-32-44-18-48-60-25-31-23-52-0,0,436.31,544.65,488.47,469.8,604.13,503.24,510.55,579.92,436.31,568.94,148.82,528.42,585.46,431.75,301.13,592.63,337.46,0,,,,,,,,,,,
kroC100,100,14690,869.44,8877,5813,18,0-84-14-78-12-26-59-73-32-80-44-98-92-48-60-25-31-23-52-0,0,528.9,430.81,410.54,540.28,484.09,463.39,574.42,430.81,588.45,561.25,496.14,625.49,523.36,578.06,427.57,297.13,588.45,327.84,0,,,,,,,,,,
kroA200,125,14690,915.476942,8653,6037,22,0-53-115-24-32-26-61-124-118-51-116-96-104-81-45-33-74-99-106-93-101-27-85-1,0,156.75,193.59,514.06,225.84,353.18,446.45,450.43,286.16,420.53,475.05,443.36,420.53,514.06,408.04,333.05,476.66,424.85,317.33,518.56,424.85,406.32,443.36,0,,,,,,
kroA200,150,14760,933.1719765,9058,5702,23,0-85-27-128-60-101-74-33-81-45-99-106-93-49-110-37-124-26-61-136-32-24-115-53-1,0,461.54,422.86,369,373.58,440.01,497.44,353.83,529.88,438.35,440.01,338.72,541.29,452.46,438.35,75,468.17,369,474.43,397.35,240.99,529.88,212.73,193.12,0,,,,,
kroA200,175,14760,971.176974,8851,5909,24,0-85-27-101-93-106-99-74-33-45-81-104-165-96-170-116-51-118-124-61-136-32-24-174-53-1,0,412.98,378.71,399.54,480.59,281.59,399.54,441.94,298.33,357.41,487.65,386.78,254.19,412.98,348.79,431.66,386.78,254.19,420.8,399.72,348.79,200.53,487.65,480.85,99,0,,,,
kroA200,200,14760,993.9731205,9082,5678,26,0-85-191-27-101-93-106-99-175-197-45-81-104-165-96-170-116-188-51-118-124-61-136-32-24-174-53-1,0,408.16,146.11,374.33,395.52,474.57,275.93,395.52,75,474.57,349.38,483.46,381.43,249.12,408.16,343.97,424.78,383.81,381.43,249.12,416.1,392.31,343.97,196.51,483.46,476.26,99,0,,
kroB200,125,14782,914.6946903,9494,5288,22,0-21-108-20-80-124-65-47-113-56-100-101-75-30-49-86-123-3-28-91-97-8-95-1,0,342.42,438.88,537.42,196.93,442.63,475.68,493.51,573.21,423.91,475.68,75.95,585.68,270.45,372.89,540.96,270.45,485.31,496.07,459.19,587.54,363.56,585.68,0,,,,,,
kroB200,150,14782,951.6893253,9282,5500,25,0-21-108-20-80-127-124-65-47-113-56-100-150-75-30-49-86-142-3-28-129-91-97-8-136-95-1,0,279.8,362.35,474.8,128.05,304.94,347.63,410.09,436.12,467.25,325.52,410.09,362.35,518.49,145.23,300.39,482.35,274.61,425.42,370.85,392.8,367.35,530.15,304.94,341.95,518.49,0,,,
kroB200,175,14782,951.178891,9263,5519,26,0-21-108-20-80-127-124-65-47-113-56-100-150-75-30-49-86-123-142-3-28-129-91-97-8-136-95-1,0,274.78,356.21,469.78,122.53,300.24,340,404.82,431.51,458.74,317.62,404.82,356.21,513.09,135.18,294.58,477.64,135.18,267.24,420.62,360.8,385.89,359.98,525.54,300.24,336.68,513.09,0,,
kroB200,200,14802,989.250147,9676,5126,28,0-21-108-166-138-86-49-181-20-80-30-75-150-190-40-198-70-149-170-53-73-3-28-129-91-97-8-136-95-1,0,273.92,355.16,95,133.47,476.84,293.58,412.73,468.92,121.59,133.47,512.17,355.16,386.21,475.35,485.12,241.78,403.93,316.27,299.44,241.41,419.8,359.08,384.71,358.73,524.75,299.44,335.78,512.17,0
